age,activity,placebrith,gender,town,genre,frequency_of_play
1997,студент,Москва,Мужчина,Москва,Battle Royal,каждый день
2000,Графический дизайн,Москва,Мужчина,Москва,Souls-like игры,каждый день
1998,лингвист,Таганрог,Иначе,Зеленоград,RPG,от двух до пяти дней в неделю
2000,студентка ,Россия,Женщина,Москва,RPG,несколько раз в неделю
2000,лингвист,Оренбург,Женщина,Москва,Казуальные игры,несколько раз в месяц
2000,студентка,Москва,Женщина,Москва,Симуляторы,несколько раз в месяц
2000,Студент,Москва,Мужчина,Москва,RPG,несколько раз в месяц
1997,"писательница, сценаристка",Россия,Женщина,Киев,Шутеры,от двух до пяти дней в неделю
2000,Программист,Москва,Мужчина,Москва,MMORPG,каждый день
2000,Студент,"Россия, Иркутская область",Женщина,Братск,Визуальные новеллы,несколько раз в месяц
2001,студент филолог,г. Братск,Женщина,Санкт-Петербург ,RPG,каждый день
1999,лингвист,Братск,Мужчина,Москва,Симуляторы,один раз в месяц и реже
2000,Игровой журналист,Новосибирск,Мужчина,Санкь-Петербург ,RPG,от двух до пяти дней в неделю
2001,Студент,Зеленоград,Мужчина,Зеленоград,Шутеры,несколько раз в неделю
1991,Художник,Екатеринбург,Женщина,Екатеринбург,RPG,каждый день
2000,Студент,Анапа,Мужчина,Москва,Шутеры,несколько раз в неделю
2004,Ученик школы,Ижевск,Мужчина,Москва,MMORPG,несколько раз в месяц
1999,Студентка,Москва,Женщина,Черноголовка,Визуальные новеллы,несколько раз в месяц
2000,Студент ,Симферополь ,Мужчина,Санкт- Петербург,MMORPG,несколько раз в месяц
2000,студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц
1994,Реставратор,Маленький город в Сибири,Мужчина,Санкт-Петербург,RPG,несколько раз в неделю
2000,студент лингвист,Ижевск,Женщина,Долгопрудный,RPG,несколько раз в неделю
1999,Кинопроизводство,Москва,Мужчина,Москва,Стратегии,несколько раз в месяц
2000,студент факультета графический дизайн,Санкт-Петербург,Женщина,Санкт-Петербург,RPG,каждый день
1994,Татуировщик,Пенза,Женщина,Москва,RPG,несколько раз в месяц
1997,преподаватель,Новосибирск,Женщина,Новосибирск,RPG,несколько раз в неделю
2001,Студентик,Москва,Мужчина,Москва,Стратегии,несколько раз в неделю
2000,Студент Гуманитарного Направления,Москва,Мужчина,Москва,RPG,несколько раз в месяц
2001,студентка,Москва,Женщина,Москва,RPG,несколько раз в неделю
1983,Системный администратор,Кременчуг,Мужчина,Екатеринбург,RPG,несколько раз в месяц
1997,студентка психфака,Москва,Женщина,Москва,MMORPG,несколько раз в неделю
1997,студентка,Москва,Женщина,Долгопрудный,RPG,несколько раз в месяц
2001,Студент,Ярославль,Женщина,Москва,Стратегии,один раз в месяц и реже
1998,менеджер в поддержке пользователей и компьютерный лингвист,Липецкая область,Женщина,Москва,RPG,один раз в месяц и реже
1998,Студент,Санкт-Петербург,Мужчина,Москва,RPG,несколько раз в месяц
2000,Студент,Москва,Женщина,Москва,Визуальные новеллы,от двух до пяти дней в неделю
1993,Администратор в магазине одежды,Нижнекамск,Женщина,Санкт-Петербург,Симуляторы,несколько раз в месяц
2001,Долбаеб,Селембимск,Мужчина,Санкт-Петербург,Шутеры,каждый день
1994,Инженер-проектировщик,Сочи,Женщина,Москва,Action-adventure,несколько раз в неделю
1999,Студент,Санкт-Петербург,Мужчина,Санкт-Петербург,RPG,каждый день
2003,школьник,Россия,Мужчина,Екатеринбург,Rogue-like,каждый день
2000,-,Россия,Женщина,Оренбургская область,RPG,несколько раз в неделю
1987,3д-анимация для игр,Обнинск,Мужчина,Москва,RPG,несколько раз в неделю
2000,Студентка,Каневская,Женщина,Краснодар,RPG,каждый день
2001,студент,Сыктывкар,Женщина,Киров,RPG,каждый день
2000,Студент,Россия,Мужчина,Москва,Action-adventure,несколько раз в неделю
2000,Data science,Москва,Мужчина,Москва,MMORPG,от двух до пяти дней в неделю
1977,импорт/экспорт,Россия,Мужчина,Ангарск Иркутской области,RPG,каждый день
1988,IT,Москва,Мужчина,Москва,RPG,каждый день
2000,Студентка,Подмосковье ,Женщина,Москва ,RPG,один раз в месяц и реже
1988,Медицина,Якутия,Женщина,Новосибирск,MMORPG,каждый день
1990,бизнес-аналитик,Новосибирск,Женщина,Новосибирск,RPG,несколько раз в неделю
1999,Студент,Новосибирск,Женщина,Москва,RPG,каждый день
1999,"Студент, лаборант-исследователь",Ногинск,Мужчина,Москва,RPG,каждый день
1996,Врач,Новосибирск,Женщина,Новосибирск,Визуальные новеллы,от двух до пяти дней в неделю
1995,Иллюстратор,Кудымкар,Женщина,Москва,Souls-like игры,несколько раз в неделю
1993,игровой локализатор,Иркутская область,Женщина,Санкт-Петербург ,Action-adventure,несколько раз в месяц
2000,студентка,Пермь,Женщина,Москва,RPG,несколько раз в месяц
1995,Программист,Санкт-Петербург,Женщина,Москва,Rogue-like,один раз в месяц и реже
1999,Инженер,Брянск,Мужчина,Зеленоград,Souls-like игры,от двух до пяти дней в неделю
1996,бариста,Электросталь,Мужчина,Зеленоград,Шутеры,один раз в месяц и реже
1996,Продажи,Москва,Иначе,Москва,RPG,от двух до пяти дней в неделю
1995,Переводчик,Набережные Челны ,Женщина,Набережные Челны,RPG,каждый день
1994,"Учитель, переводчик",Шилово,Женщина,Рязань,RPG,несколько раз в неделю
1989,Проджект менеджер в театре,"Пермь, Россия",Женщина,Пермь,MMORPG,несколько раз в месяц
1997,работаю,Беларусь,Женщина,Гродно,Action-adventure,каждый день
1995,Инженер,Северодвинск,Мужчина,Зеленоград,Rogue-like,несколько раз в месяц
1993,IT,Россия,Мужчина,Великий Новгород,RPG,каждый день
1993,Корректор,Казахстан,Женщина,Павлодар,RPG,от двух до пяти дней в неделю
2000,студент,Москва,Мужчина,Москва,RPG,несколько раз в неделю
1996,Project manager,Киев,Женщина,Киев,RPG,каждый день
1997,Фриланс/перевод,Москва,Женщина,Москва,Симуляторы,несколько раз в неделю
1995,Переводчик,Россия,Женщина,Белгород,RPG,от двух до пяти дней в неделю
2000,Специалистка по локализации игр,Минск,Женщина,Минск,RPG,несколько раз в неделю
1996,Менеджер по локализации,Москва,Женщина,Зеленоград,RPG,от двух до пяти дней в неделю
1990,Продаю Клетчатые сумки,Тамбов,Мужчина,Тамбов,Action-adventure,каждый день
2000,Мед. работник,"Россия, г. Тольятти",Иначе,Тольятти,RPG,каждый день
1996,Преподаватель английского,Черкесск,Женщина,Пятигорск,RPG,один раз в месяц и реже
1995,Инженер,Украина,Женщина,Ровно,RPG,от двух до пяти дней в неделю
1995,Переводчица,Пензенская обл.,Женщина,Сызрань,Визуальные новеллы,каждый день
1988,Менеджер по локализации видеоигр,Москва ,Женщина,Москва,RPG,каждый день
2001,студент,Москва,Женщина,Москва,RPG,несколько раз в месяц
2000,Высшее образование ,Беларусь ,Мужчина,Новополоцк ,Souls-like игры,каждый день
1996,Переводчик,Северск,Мужчина,Северск,Стратегии,несколько раз в месяц
1993,преподаватель,Иваново,Женщина,Москва,Action-adventure,несколько раз в неделю
1994,"преподаватель, переводчик",Россия,Мужчина,Анапа,Action-adventure,каждый день
2001,Студентка,Актау,Женщина,Актау,Симуляторы,один раз в месяц и реже
1991,IT,Новосибирск,Мужчина,Новосибирск,RPG,каждый день
1992,Контент-менеджер,Екатеринбург ,Женщина,Екатеринбург ,Шутеры,один раз в месяц и реже
1986,журналист,Якутия,Мужчина,Электроугли,RPG,от двух до пяти дней в неделю
1999,Студентка,Новосибирск,Женщина,Новосибирск,Визуальные новеллы,каждый день
1990,Айти,Новосибирск,Мужчина,Новосибирск,RPG,каждый день
1995,"Переводчик, преподаватель английского",Курган,Мужчина,Екатеринбург,Шутеры,от двух до пяти дней в неделю
2001,студентка,Рязань,Женщина,Рязань,Визуальные новеллы,от двух до пяти дней в неделю
1999,Студент кафедры биоорганической химии биофак МГУ ,Москва,Мужчина,Москва,Souls-like игры,каждый день
1998,Создание видеоэссе,Магадан,Мужчина,Москва,RPG,каждый день
1995,Иллюстратор,Кудымкар,Женщина,Москва,Souls-like игры,несколько раз в неделю
1995,Sound design,Москва,Мужчина,Москва,MMORPG,несколько раз в месяц
2000,анимация,Москва,Женщина,Подольск,Симуляторы,несколько раз в месяц
2000,Студент,Россия,Мужчина,Черкесск,RPG,от двух до пяти дней в неделю
1999,Студент + работаю в айти,Москва,Женщина,Москва,Стратегии,несколько раз в месяц
1998,Студент педагогического университета,Московская область,Женщина,Москва,Визуальные новеллы,несколько раз в месяц
1998,Студент ,Раменское,Мужчина,Москва,Souls-like игры,несколько раз в месяц
1997,безработный и беззаботный ,Москва,Мужчина,Москва,Визуальные новеллы,один раз в месяц и реже
1998,Студент,Владикавказ,Мужчина,Вена,Шутеры,несколько раз в месяц
1996,Инженер,Днепр,Мужчина,Фрайберг,Визуальные новеллы,от двух до пяти дней в неделю
2002,Программист,Новосибирск,Мужчина,Новосибирск,Симуляторы,несколько раз в неделю
2001,Студентка,Москва,Женщина,Москва,Хорроры,несколько раз в месяц
1987,Сисадмин,Анадырь,Мужчина,Нижний Новгород,Шутеры,несколько раз в месяц
1995,Врач,Нижний Новгород,Мужчина,Нижний Новгород,RPG,от двух до пяти дней в неделю
1998,"Студент-магистрант, преподаватель",Владикавказ,Женщина,Пятигорск,RPG,от двух до пяти дней в неделю
1984,Продажи,Чебоксары,Мужчина,Нижний Новгород,Action-adventure,несколько раз в неделю
1986,Программист,Чебоксары,Мужчина,Нижний Новгород,Шутеры,несколько раз в неделю
1998,Программист,Мичуринск,Мужчина,Воронеж,RPG,от двух до пяти дней в неделю
2001,Дизайнер,Воронеж,Мужчина,Воронеж,RPG,несколько раз в неделю
1990,Журналист,Ташкент,Мужчина,Ташкент,Souls-like игры,каждый день
1992,Банковская деятельность,Москва,Мужчина,Москва,RPG,от двух до пяти дней в неделю
1993,QA,СПб,Мужчина,Санкт-Петербург,Souls-like игры,несколько раз в месяц
2000,Учёба,Братск,Мужчина,Москва,MMORPG,несколько раз в неделю
2003,Студент,Украина ,Мужчина,Харьков,RPG,каждый день
1991,Инженер,Россия,Мужчина,Москва,RPG,несколько раз в неделю
1994,Копирайтер,Харьков,Мужчина,Харьков,RPG,несколько раз в неделю
1995,юрист,СНГ,Мужчина,Россия,RPG,каждый день
1993,Инженер,Казахстан,Женщина,Челябинск,Souls-like игры,от двух до пяти дней в неделю
1977,Программист,Россия,Иначе,Россия,RPG,каждый день
1987,инженер-проектировщик,Санкт-Петербург,Мужчина,Санкт-Петербург,Action-adventure,от двух до пяти дней в неделю
1998,лингвист ,Украина ,Мужчина,Санкт-Петербург,Шутеры,каждый день
1997,Безработный,Каргат,Женщина,Новосибирск,MMORPG,каждый день
1973,Инженер,Москва,Женщина,Москва,Action-adventure,один раз в месяц и реже
2003,Школьник,Иркутск,Мужчина,Шелехов,RPG,несколько раз в месяц
2001,Работаю,Чита ,,Москва,RPG,несколько раз в неделю
2004,Школьник ,Братск,Женщина,Братск,Симуляторы,несколько раз в месяц
1991,Проджект менеджер it проектов,Барнаул,Женщина,Москва,RPG,каждый день
1996,Переводчик,Россия,Мужчина,Турку,RPG,от двух до пяти дней в неделю
1996,Обычный рабочий,Воркута,Мужчина,Вологда,MMORPG,каждый день
2003,"Учусь в 10, снимаю тт, очень часто играю в спортивные игры ( волейбол, футбол, баскет )",Сызрань,Мужчина,Сызрань,Стратегии,каждый день
2004,Школа,Беларусь,Мужчина,Гродно,RPG,один раз в месяц и реже
1997,-,Дмитров,Иначе,Дмитров,MMORPG,каждый день
1998,Студент,Казахстан,Мужчина,Ванкувер,MMORPG,каждый день
2002,Digital  ,Санкт-Петербург,Женщина,Санкт-Петербург,Стратегии,несколько раз в месяц
2001,фриланс,Казахстан,Женщина,Нур-Султан,Battle Royal,несколько раз в месяц
2003,Студент ,Москва ,Женщина,Москва ,MMORPG,от двух до пяти дней в неделю
2003,Школьница,Москва,Женщина,Москва,Визуальные новеллы,несколько раз в месяц
2004,Студент,Москва,Женщина,Москва,Визуальные новеллы,каждый день
1996,Дизайн ,Омск ,Мужчина,Омск,Шутеры,каждый день
2000,Студент,Москва,Женщина,Москва,Стратегии,несколько раз в месяц
1993,Программист,Урал,Мужчина,Прага,Шутеры,несколько раз в месяц